CodPro,SGE,status_A1,km_A1,n_vias_A1,ids_vias_A1,status_A2,km_A2,n_vias_A2,ids_vias_A2
OAE485,30177.0,encontrada,131.0294,13,BR-404;CE-189;BR-403;CE-187;OSM-primary_link;Rua Higino Gonçalves Rosa;OSM-secondary;Rua Cornelio Rosa;Rua Francisco Lopes;OSM-tertiary;Rua Raimundo Evaristo;Rua João Luciano;Rua Franklin José Vieira,grafo_desconexo,0.0,0,
OAE486,30178.0,encontrada,75.8294,5,BR-403;CE-183;CE-253;CE-321;BR-222,encontrada,75.8294,5,BR-403;CE-183;CE-253;CE-321;BR-222
OAE487,30179.0,encontrada,75.8375,5,BR-403;CE-183;CE-253;CE-321;BR-222,encontrada,75.8375,5,BR-403;CE-183;CE-253;CE-321;BR-222
OAE488,30180.0,encontrada,131.0117,13,BR-404;CE-189;BR-403;CE-187;OSM-primary_link;Rua Higino Gonçalves Rosa;OSM-secondary;Rua Cornelio Rosa;Rua Francisco Lopes;OSM-tertiary;Rua Raimundo Evaristo;Rua João Luciano;Rua Franklin José Vieira,grafo_desconexo,0.0,0,
OAE489,30181.0,encontrada,6.267,16,BR-404;CE-189;BR-404;CE-187;Rua Alexandre Bonfim;Rua Antônio Catuanda;Avenida Sargento Hermínio;Rua Francisco Sá;Rua Bento Coutinho;Rua Coronel Lúcio;Rua Agamenon Machado;Rua Anizio Frota;Rua Menezes PImentel;OSM-tertiary;Rua Gentil Falção;Rua Hanneman Magalhães,encontrada,6.267,16,BR-404;CE-189;BR-404;CE-187;Rua Alexandre Bonfim;Rua Antônio Catuanda;Avenida Sargento Hermínio;Rua Francisco Sá;Rua Bento Coutinho;Rua Coronel Lúcio;Rua Agamenon Machado;Rua Anizio Frota;Rua Menezes PImentel;OSM-tertiary;Rua Gentil Falção;Rua Hanneman Magalhães
OAE490,30182.0,encontrada,130.6845,13,BR-404;CE-189;BR-403;CE-187;OSM-primary_link;Rua Higino Gonçalves Rosa;OSM-secondary;Rua Cornelio Rosa;Rua Francisco Lopes;OSM-tertiary;Rua Raimundo Evaristo;Rua João Luciano;Rua Franklin José Vieira,grafo_desconexo,0.0,0,
OAE491,30183.0,encontrada,3.9679,6,Avenida Senador Fernandes Távora;Avenida Moacir Lima Feijão;OSM-secondary;Avenida Monsenhor Aloísio Pinto;Rua Coronel Antônio Rodrigues Magalhães,encontrada,3.9679,6,Avenida Senador Fernandes Távora;Avenida Moacir Lima Feijão;OSM-secondary;Avenida Monsenhor Aloísio Pinto;Rua Coronel Antônio Rodrigues Magalhães
OAE492,30184.0,encontrada,131.0013,13,BR-404;CE-189;BR-403;CE-187;OSM-primary_link;Rua Higino Gonçalves Rosa;OSM-secondary;Rua Cornelio Rosa;Rua Francisco Lopes;OSM-tertiary;Rua Raimundo Evaristo;Rua João Luciano;Rua Franklin José Vieira,grafo_desconexo,0.0,0,
OAE493,30185.0,encontrada,61.4663,9,BR-222;OSM-trunk_link;BR-222;BR-403;CE-179;CE-253;OSM-tertiary;CE-362,encontrada,121.61,18,BR-222;OSM-trunk_link;BR-222;BR-403;Avenida Senador Fernandes Távora;Avenida Maria da Conceição Pontes de Azevedo;Estrada das Marrecas;Avenida Prefeito José Euclides Ferreira Gomes Júnior;CE-417;BR-403;CE-178;CE-240;CE-176;OSM-tertiary;Avenida Linha Francisco Marques;Rodovia Doutor José Euclides Ferreira Gomes Júnior
OAE494,30186.0,encontrada,61.4353,9,BR-222;OSM-trunk_link;BR-222;BR-403;CE-179;CE-253;OSM-tertiary;CE-362,encontrada,121.579,18,BR-222;OSM-trunk_link;BR-222;BR-403;Avenida Senador Fernandes Távora;Avenida Maria da Conceição Pontes de Azevedo;Estrada das Marrecas;Avenida Prefeito José Euclides Ferreira Gomes Júnior;CE-417;BR-403;CE-178;CE-240;CE-176;OSM-tertiary;Avenida Linha Francisco Marques;Rodovia Doutor José Euclides Ferreira Gomes Júnior
OAE495,30187.0,encontrada,75.7633,5,BR-403;CE-183;BR-222;CE-321;CE-253,encontrada,75.7633,5,BR-403;CE-183;BR-222;CE-321;CE-253
OAE496,30188.0,encontrada,5.3428,7,Rua Othon de Alencar;Rua Oriano Mendes;Rua Doutor Carlito Pompeu;Avenida Monsenhor Aloísio Pinto;OSM-secondary;Avenida Moacir Lima Feijão;Avenida Senador Fernandes Távora,encontrada,5.3428,7,Rua Othon de Alencar;Rua Oriano Mendes;Rua Doutor Carlito Pompeu;Avenida Monsenhor Aloísio Pinto;OSM-secondary;Avenida Moacir Lima Feijão;Avenida Senador Fernandes Távora
OAE497,30189.0,encontrada,3.9596,6,Avenida Senador Fernandes Távora;Rua Coronel Antônio Rodrigues Magalhães;Avenida Monsenhor Aloísio Pinto;OSM-secondary;Avenida Moacir Lima Feijão,encontrada,3.9596,6,Avenida Senador Fernandes Távora;Rua Coronel Antônio Rodrigues Magalhães;Avenida Monsenhor Aloísio Pinto;OSM-secondary;Avenida Moacir Lima Feijão
OAE498,30190.0,encontrada,5.3356,7,Rua Othon de Alencar;Rua Oriano Mendes;Rua Doutor Carlito Pompeu;Avenida Monsenhor Aloísio Pinto;OSM-secondary;Avenida Moacir Lima Feijão;Avenida Senador Fernandes Távora,encontrada,5.3356,7,Rua Othon de Alencar;Rua Oriano Mendes;Rua Doutor Carlito Pompeu;Avenida Monsenhor Aloísio Pinto;OSM-secondary;Avenida Moacir Lima Feijão;Avenida Senador Fernandes Távora
OAE499,30191.0,encontrada,8.6457,11,BR-222;BR-403;Rua Paralela a BR-222;Avenida Manoel Machado de Araújo;Rua José Lopes Ponte;Avenida Monsenhor Aloísio Pinto;Rua Coronel José Sabóia;Avenida Dom José Tupinambá da Frota;Rua Coronel José Inácio;Rua Tabelião Ildefonso Cavalcante;Avenida Senador José Ermírio de Moraes,encontrada,8.6457,11,BR-222;BR-403;Rua Paralela a BR-222;Avenida Manoel Machado de Araújo;Rua José Lopes Ponte;Avenida Monsenhor Aloísio Pinto;Rua Coronel José Sabóia;Avenida Dom José Tupinambá da Frota;Rua Coronel José Inácio;Rua Tabelião Ildefonso Cavalcante;Avenida Senador José Ermírio de Moraes
OAE500,30192.0,encontrada,8.9254,10,BR-222;BR-403;Avenida Senador Fernandes Távora;Rua Caetano Figueiredo;Rua 07;Rua Raimundo Rodrigues;Avenida Julys Alisson Soares Balrreira;BR-403;CE-178;OSM-trunk_link,encontrada,121.646,18,BR-222;BR-403;Avenida Senador Fernandes Távora;Avenida Maria da Conceição Pontes de Azevedo;Estrada das Marrecas;Avenida Prefeito José Euclides Ferreira Gomes Júnior;CE-417;BR-403;CE-178;CE-240;CE-176;OSM-tertiary;Avenida Linha Francisco Marques;Rodovia Doutor José Euclides Ferreira Gomes Júnior;OSM-trunk_link;BR-222
OAE502,30194.0,encontrada,24.1843,8,BR-020;OSM-trunk_link;Rodovia Raimundo Pessoa de Araújo;CE-251;Estrada para Caraussanga,encontrada,110.4327,15,BR-020;OSM-trunk_link;CE-065;Rua Doutor Argeu Braga Herbster;Rua Capitão Jeová Colares;Rua Chico Anísio;Avenida Doutor Stênio Gomes;CE-455;CE-354
OAE503,30195.0,encontrada,108.818,9,BR-020;BR Velha;CE-253;CE-065;Rua Padre Quiliano;CE-155;CE-354,encontrada,108.818,9,BR-020;BR Velha;CE-253;CE-065;Rua Padre Quiliano;CE-155;CE-354
OAE504,30196.0,encontrada,143.1893,11,BR-020;Avenida Coronel José Cícero Sampaio;CE-253;CE-356;OSM-tertiary;Rua Joaquim Alves Nogueira;CE-065;CE-356;CE-065;CE-257,encontrada,143.1893,11,BR-020;Avenida Coronel José Cícero Sampaio;CE-253;CE-356;OSM-tertiary;Rua Joaquim Alves Nogueira;CE-065;CE-356;CE-065;CE-257
OAE505,30197.0,encontrada,143.1918,11,BR-020;Avenida Coronel José Cícero Sampaio;CE-253;CE-356;OSM-tertiary;Rua Joaquim Alves Nogueira;CE-065;CE-356;CE-065;CE-257,encontrada,143.1918,11,BR-020;Avenida Coronel José Cícero Sampaio;CE-253;CE-356;OSM-tertiary;Rua Joaquim Alves Nogueira;CE-065;CE-356;CE-065;CE-257
OAE506,30198.0,encontrada,86.8985,9,BR-020;OSM-trunk_link;OSM-tertiary;Estrada do Corrente - Ipu - Tucunduba;CE-065;CE-455;CE-354,encontrada,110.4293,15,BR-020;OSM-trunk_link;CE-065;Rua Doutor Argeu Braga Herbster;Rua Capitão Jeová Colares;Rua Chico Anísio;Avenida Doutor Stênio Gomes;CE-455;CE-354
OAE507,30199.0,encontrada,86.9648,9,BR-020;CE-354;CE-455;CE-065;OSM-tertiary;Estrada do Corrente - Ipu - Tucunduba;OSM-trunk_link,encontrada,110.4956,15,BR-020;CE-354;CE-455;CE-065;Avenida Doutor Stênio Gomes;Rua Chico Anísio;Rua Capitão Jeová Colares;Rua Doutor Argeu Braga Herbster;OSM-trunk_link
OAE508,30200.0,encontrada,86.9297,9,BR-020;CE-354;CE-455;CE-065;OSM-tertiary;Estrada do Corrente - Ipu - Tucunduba;OSM-trunk_link,encontrada,110.4604,15,BR-020;CE-354;CE-455;CE-065;Avenida Doutor Stênio Gomes;Rua Chico Anísio;Rua Capitão Jeová Colares;Rua Doutor Argeu Braga Herbster;OSM-trunk_link
OAE509,30201.0,encontrada,86.9315,9,BR-020;CE-354;CE-455;CE-065;OSM-tertiary;Estrada do Corrente - Ipu - Tucunduba;OSM-trunk_link,encontrada,110.4623,15,BR-020;CE-354;CE-455;CE-065;Avenida Doutor Stênio Gomes;Rua Chico Anísio;Rua Capitão Jeová Colares;Rua Doutor Argeu Braga Herbster;OSM-trunk_link
OAE510,30202.0,encontrada,86.9034,9,BR-020;OSM-trunk_link;OSM-tertiary;Estrada do Corrente - Ipu - Tucunduba;CE-065;CE-455;CE-354,encontrada,110.4342,15,BR-020;OSM-trunk_link;CE-065;Rua Doutor Argeu Braga Herbster;Rua Capitão Jeová Colares;Rua Chico Anísio;Avenida Doutor Stênio Gomes;CE-455;CE-354
OAE511,30203.0,encontrada,86.9027,9,BR-020;CE-354;CE-455;CE-065;OSM-tertiary;Estrada do Corrente - Ipu - Tucunduba;OSM-trunk_link,encontrada,110.4334,15,BR-020;CE-354;CE-455;CE-065;Avenida Doutor Stênio Gomes;Rua Chico Anísio;Rua Capitão Jeová Colares;Rua Doutor Argeu Braga Herbster;OSM-trunk_link
OAE512,30204.0,encontrada,86.8976,9,BR-020;CE-354;CE-455;CE-065;OSM-tertiary;Estrada do Corrente - Ipu - Tucunduba;OSM-trunk_link,encontrada,110.4284,15,BR-020;CE-354;CE-455;CE-065;Avenida Doutor Stênio Gomes;Rua Chico Anísio;Rua Capitão Jeová Colares;Rua Doutor Argeu Braga Herbster;OSM-trunk_link
OAE513,30205.0,encontrada,7.1622,6,Avenida Senador José Ermírio de Moraes;CE-417;Avenida Ministro César Cals;Rua Manoel Marinho de Andrade;Rua Manuel Marinho de Andrade,encontrada,7.1622,6,Avenida Senador José Ermírio de Moraes;CE-417;Avenida Ministro César Cals;Rua Manoel Marinho de Andrade;Rua Manuel Marinho de Andrade
OAE514,30206.0,encontrada,67.892,9,BR-403;CE-085;BR-403;CE-216;BR-402;CE-179;Avenida Tenente Albano;OSM-primary;OSM-trunk;CE-085,encontrada,67.892,9,BR-403;CE-085;BR-403;CE-216;BR-402;CE-179;Avenida Tenente Albano;OSM-primary;OSM-trunk;CE-085
OAE515,30207.0,encontrada,86.9655,9,BR-020;CE-354;CE-455;CE-065;OSM-tertiary;Estrada do Corrente - Ipu - Tucunduba;OSM-trunk_link,encontrada,110.4963,15,BR-020;CE-354;CE-455;CE-065;Avenida Doutor Stênio Gomes;Rua Chico Anísio;Rua Capitão Jeová Colares;Rua Doutor Argeu Braga Herbster;OSM-trunk_link
OAE516,30208.0,encontrada,24.1904,8,BR-020;CE-251;Estrada para Caraussanga;Rodovia Raimundo Pessoa de Araújo;OSM-trunk_link,encontrada,110.4387,15,BR-020;OSM-trunk_link;CE-354;CE-455;CE-065;Avenida Doutor Stênio Gomes;Rua Chico Anísio;Rua Capitão Jeová Colares;Rua Doutor Argeu Braga Herbster
OAE517,30209.0,encontrada,53.9979,15,BR-020;OSM-trunk_link;OSM-tertiary;Estrada do Corrente - Ipu - Tucunduba;CE-065;Avenida Doutor Stênio Gomes;Rua Chico Anísio;Rua Capitão Jeová Colares;Rua Doutor Argeu Braga Herbster;CE-251;Estrada para Caraussanga,encontrada,110.4728,15,BR-020;OSM-trunk_link;CE-354;CE-455;CE-065;Avenida Doutor Stênio Gomes;Rua Chico Anísio;Rua Capitão Jeová Colares;Rua Doutor Argeu Braga Herbster
OAE518,30210.0,encontrada,8.1121,5,Rua da Independência;Rua José Martins;CE-085;OSM-tertiary,encontrada,8.1121,5,Rua da Independência;Rua José Martins;CE-085;OSM-tertiary
OAE519,30211.0,encontrada,64.3361,7,CE-216;CE-179;Avenida José Milton de Oliveira;OSM-tertiary;Rua Francisco Romão,encontrada,64.3361,7,CE-216;CE-179;Avenida José Milton de Oliveira;OSM-tertiary;Rua Francisco Romão
OAE520,30212.0,encontrada,40.491,11,CE-216;BR-402;CE-179;CE-354;BR-403;CE-178;BR-403;BR-403;CE-354;CE-178;BR-402;BR-403;BR-402;BR-403;CE-178;OSM-primary_link,encontrada,67.6619,9,CE-216;BR-402;CE-179;Avenida Tenente Albano;OSM-primary;OSM-trunk;CE-085;BR-403;CE-085;BR-403
OAE521,30213.0,encontrada,107.4951,7,BR-402;CE-354;BR-402;CE-176;OSM-primary;CE-085;CE-177,encontrada,107.4951,7,BR-402;CE-354;BR-402;CE-176;OSM-primary;CE-085;CE-177
OAE522,30214.0,encontrada,218.9074,17,BR-122;CE-368;BR-122;CE-368;CE-153;CE-153;CE368;BR-122;CE-153;CE-368;BR-122;CE-266;CE-371;Avenida Manoel Castro de Andrade;Rua Cipriano Maia;Rua Coronel Tibúrcio;Rua Paulino Massaranduba;CE-265;Rua Tenente Cravo;CE-060;BR-122;CE-060;BR-122,grafo_desconexo,0.0,0,
OAE523,30215.0,encontrada,218.8768,17,BR-122;CE-368;BR-122;CE-368;CE-153;CE-153;CE368;BR-122;CE-153;CE-368;BR-122;CE-266;CE-371;Avenida Manoel Castro de Andrade;Rua Cipriano Maia;Rua Coronel Tibúrcio;Rua Paulino Massaranduba;CE-265;Rua Tenente Cravo;CE-060;BR-122;CE-060;BR-122,grafo_desconexo,0.0,0,
OAE524,30216.0,encontrada,10.9983,9,CE-085;Avenida Coronel Correia;Rua Coronel Correia;Rua Doutor João Hipólito;Rua Juací Sampaio Pontes;Avenida da Integração;BR-020;BR-222;OSM-trunk_link,encontrada,10.9983,9,CE-085;Avenida Coronel Correia;Rua Coronel Correia;Rua Doutor João Hipólito;Rua Juací Sampaio Pontes;Avenida da Integração;BR-020;BR-222;OSM-trunk_link
OAE525,30217.0,encontrada,53.9665,15,BR-020;CE-251;Estrada para Caraussanga;CE-065;Rua Doutor Argeu Braga Herbster;Rua Capitão Jeová Colares;Rua Chico Anísio;Avenida Doutor Stênio Gomes;OSM-tertiary;Estrada do Corrente - Ipu - Tucunduba;OSM-trunk_link,encontrada,110.4414,15,BR-020;OSM-trunk_link;CE-065;Rua Doutor Argeu Braga Herbster;Rua Capitão Jeová Colares;Rua Chico Anísio;Avenida Doutor Stênio Gomes;CE-455;CE-354
OAE526,30218.0,encontrada,24.185,8,BR-020;CE-251;Estrada para Caraussanga;Rodovia Raimundo Pessoa de Araújo;OSM-trunk_link,encontrada,110.4334,15,BR-020;OSM-trunk_link;CE-354;CE-455;CE-065;Avenida Doutor Stênio Gomes;Rua Chico Anísio;Rua Capitão Jeová Colares;Rua Doutor Argeu Braga Herbster
OAE527,30219.0,encontrada,67.6777,9,BR-403;CE-085;BR-403;CE-216;BR-402;CE-179;Avenida Tenente Albano;OSM-primary;OSM-trunk;CE-085,encontrada,67.6777,9,BR-403;CE-085;BR-403;CE-216;BR-402;CE-179;Avenida Tenente Albano;OSM-primary;OSM-trunk;CE-085
OAE528,30220.0,encontrada,67.6769,8,CE-085;OSM-trunk;OSM-primary;Avenida Tenente Albano;CE-179;CE-216;BR-402;BR-403;BR-403;CE-085,encontrada,67.6769,8,CE-085;OSM-trunk;OSM-primary;Avenida Tenente Albano;CE-179;CE-216;BR-402;BR-403;BR-403;CE-085
OAE529,30221.0,encontrada,11.9075,14,BR-020;BR-222;CE-062;Avenida Senador Fernandes Távora;Rua José Mendonça;Avenida D;Avenida Alanis Maria Laurindo de Oliveira;Avenida Ministro Albuquerque Lima;Avenida C;Avenida J;Rua Paulino Pereira de Lemos;Avenida Dom Almeida Lustosa;OSM-trunk_link,encontrada,11.9075,14,BR-020;BR-222;CE-062;Avenida Senador Fernandes Távora;Rua José Mendonça;Avenida D;Avenida Alanis Maria Laurindo de Oliveira;Avenida Ministro Albuquerque Lima;Avenida C;Avenida J;Rua Paulino Pereira de Lemos;Avenida Dom Almeida Lustosa;OSM-trunk_link
OAE530,30222.0,encontrada,73.3646,10,CE-189;BR-404;CE-189;Avenida Raimundo Evaristo;Rua Aleixo Vieira;OSM-tertiary;Rua Saturnino Abreu Memória;CE-265;Rua Luís Vieira Torres;Rua João Almeida Filho,encontrada,73.3646,10,CE-189;BR-404;CE-189;Avenida Raimundo Evaristo;Rua Aleixo Vieira;OSM-tertiary;Rua Saturnino Abreu Memória;CE-265;Rua Luís Vieira Torres;Rua João Almeida Filho
OAE531,30223.0,encontrada,54.025,15,BR-020;OSM-trunk_link;OSM-tertiary;Estrada do Corrente - Ipu - Tucunduba;CE-065;Avenida Doutor Stênio Gomes;Rua Chico Anísio;Rua Capitão Jeová Colares;Rua Doutor Argeu Braga Herbster;CE-251;Estrada para Caraussanga,encontrada,110.5,15,BR-020;OSM-trunk_link;CE-354;CE-455;CE-065;Avenida Doutor Stênio Gomes;Rua Chico Anísio;Rua Capitão Jeová Colares;Rua Doutor Argeu Braga Herbster
OAE532,30224.0,encontrada,67.8056,9,BR-403;CE-085;CE-085;OSM-trunk;OSM-primary;Avenida Tenente Albano;CE-179;CE-216;BR-402;BR-403,encontrada,67.8056,9,BR-403;CE-085;CE-085;OSM-trunk;OSM-primary;Avenida Tenente Albano;CE-179;CE-216;BR-402;BR-403
OAE533,30225.0,encontrada,53.9869,15,BR-020;OSM-trunk_link;OSM-tertiary;Estrada do Corrente - Ipu - Tucunduba;CE-065;Avenida Doutor Stênio Gomes;Rua Chico Anísio;Rua Capitão Jeová Colares;Rua Doutor Argeu Braga Herbster;CE-251;Estrada para Caraussanga,encontrada,110.4619,15,BR-020;OSM-trunk_link;CE-354;CE-455;CE-065;Avenida Doutor Stênio Gomes;Rua Chico Anísio;Rua Capitão Jeová Colares;Rua Doutor Argeu Braga Herbster
OAE534,30226.0,encontrada,178.7983,14,BR-122;Avenida Jesus Maria e José;Rua Tenente Cravo;Rua Ader Ferreira Araújo;Avenida Plácido Castelo;CE-060;OSM-primary_link;CE-356;BR-122;CE-359;OSM-primary,encontrada,193.4354,16,BR-122;Avenida Jesus Maria e José;Rua Tenente Cravo;Rua Ader Ferreira Araújo;Avenida Plácido Castelo;CE-060;OSM-primary_link;CE-464;OSM-tertiary;BR-122;CE-359;OSM-primary
OAE535,30227.0,encontrada,218.8395,17,BR-122;CE-368;BR-122;CE-368;CE-153;CE-153;CE368;BR-122;CE-153;CE-368;BR-122;CE-266;CE-371;Avenida Manoel Castro de Andrade;Rua Cipriano Maia;Rua Coronel Tibúrcio;Rua Paulino Massaranduba;CE-265;Rua Tenente Cravo;CE-060;BR-122;CE-060;BR-122,grafo_desconexo,0.0,0,
OAE536,30228.0,encontrada,3.5841,9,Rua Doutor Catunda Gondim;Rua Demétrio Menezes;Avenida Coronel Carvalho;Rua Deputado Matoso Filho;Rua Padre Perdigão Sampaio;Rua Vicente de Paula;Rua Tomás Rodrigues;Avenida Mister Hull;BR-020;BR-222,encontrada,3.5841,9,Rua Doutor Catunda Gondim;Rua Demétrio Menezes;Avenida Coronel Carvalho;Rua Deputado Matoso Filho;Rua Padre Perdigão Sampaio;Rua Vicente de Paula;Rua Tomás Rodrigues;Avenida Mister Hull;BR-020;BR-222
OAE537,30229.0,encontrada,64.2935,7,CE-216;CE-179;Avenida José Milton de Oliveira;OSM-tertiary;Rua Francisco Romão,encontrada,64.2935,7,CE-216;CE-179;Avenida José Milton de Oliveira;OSM-tertiary;Rua Francisco Romão
OAE538,30230.0,encontrada,95.258,7,BR-402;BR-402;CE-354;CE-176;CE-240;OSM-primary,encontrada,95.258,7,BR-402;BR-402;CE-354;CE-176;CE-240;OSM-primary
OAE539,30231.0,encontrada,67.8916,9,BR-403;CE-085;BR-403;CE-216;BR-402;CE-179;Avenida Tenente Albano;OSM-primary;OSM-trunk;CE-085,encontrada,67.8916,9,BR-403;CE-085;BR-403;CE-216;BR-402;CE-179;Avenida Tenente Albano;OSM-primary;OSM-trunk;CE-085
OAE541,30233.0,encontrada,95.2825,7,BR-402;BR-402;CE-354;CE-176;CE-240;OSM-primary,encontrada,95.2825,7,BR-402;BR-402;CE-354;CE-176;CE-240;OSM-primary
OAE542,30234.0,encontrada,0.2409,1,OSM-trunk_link,encontrada,0.2409,1,OSM-trunk_link
OAE543,30235.0,encontrada,59.253,22,BR-116;CE-350;OSM-trunk_link;Rua Luiz Paula de Sousa;Avenida José Nicodemos de Assunção;Estrada da Cinzenta;Estrada da Aroeira;Estrada Patacas;Avenida Josué Leite de Freitas;CE-040;OSM-tertiary;Avenida José Nicodemos Assunção;Rua Ângelo Rodrigues Monteiro;CE-251;BR-116;CE-251;BR-116;CE-350;CE-251,encontrada,68.1959,26,BR-116;CE-350;OSM-trunk_link;Rua Luiz Paula de Sousa;Avenida José Nicodemos de Assunção;Estrada da Cinzenta;Estrada da Aroeira;Estrada Patacas;Avenida Josué Leite de Freitas;CE-040;OSM-tertiary;BR-020;BR-116;BR-116;CE-251;BR-116;CE-350;CE-251
OAE544,30236.0,encontrada,59.2459,22,BR-116;CE-350;BR-116;CE-350;CE-251;BR-116;CE-251;OSM-trunk_link;CE-251;Rua Ângelo Rodrigues Monteiro;OSM-tertiary;Avenida José Nicodemos Assunção;CE-040;Avenida Josué Leite de Freitas;Estrada Patacas;Estrada da Aroeira;Estrada da Cinzenta;Avenida José Nicodemos de Assunção;Rua Luiz Paula de Sousa,encontrada,68.1889,26,BR-116;CE-350;BR-116;CE-350;CE-251;BR-116;CE-251;OSM-trunk_link;BR-116;BR-020;CE-040;OSM-tertiary;Avenida Josué Leite de Freitas;Estrada Patacas;Estrada da Aroeira;Estrada da Cinzenta;Avenida José Nicodemos de Assunção;Rua Luiz Paula de Sousa
OAE545,30237.0,encontrada,7.1636,6,Avenida Senador José Ermírio de Moraes;CE-417;Avenida Ministro César Cals;Rua Manoel Marinho de Andrade;Rua Manuel Marinho de Andrade,encontrada,7.1636,6,Avenida Senador José Ermírio de Moraes;CE-417;Avenida Ministro César Cals;Rua Manoel Marinho de Andrade;Rua Manuel Marinho de Andrade
OAE546,30238.0,encontrada,59.1952,22,BR-116;CE-350;OSM-trunk_link;BR-116;CE-350;CE-251;BR-116;CE-251;CE-251;Rua Ângelo Rodrigues Monteiro;OSM-tertiary;Avenida José Nicodemos Assunção;CE-040;Avenida Josué Leite de Freitas;Estrada Patacas;Estrada da Aroeira;Estrada da Cinzenta;Avenida José Nicodemos de Assunção;Rua Luiz Paula de Sousa,encontrada,68.1382,26,BR-116;CE-350;OSM-trunk_link;BR-116;CE-350;CE-251;BR-116;CE-251;BR-116;BR-020;CE-040;OSM-tertiary;Avenida Josué Leite de Freitas;Estrada Patacas;Estrada da Aroeira;Estrada da Cinzenta;Avenida José Nicodemos de Assunção;Rua Luiz Paula de Sousa
OAE547,30239.0,encontrada,59.1949,22,BR-116;CE-350;Rua Luiz Paula de Sousa;Avenida José Nicodemos de Assunção;Estrada da Cinzenta;Estrada da Aroeira;Estrada Patacas;Avenida Josué Leite de Freitas;CE-040;OSM-trunk_link;OSM-tertiary;Avenida José Nicodemos Assunção;Rua Ângelo Rodrigues Monteiro;CE-251;BR-116;CE-251;BR-116;CE-350;CE-251,encontrada,68.1379,26,BR-116;CE-350;Rua Luiz Paula de Sousa;Avenida José Nicodemos de Assunção;Estrada da Cinzenta;Estrada da Aroeira;Estrada Patacas;Avenida Josué Leite de Freitas;CE-040;OSM-trunk_link;OSM-tertiary;BR-020;BR-116;BR-116;CE-251;BR-116;CE-350;CE-251
OAE548,30240.0,encontrada,107.5188,7,BR-402;CE-354;CE-177;CE-085;OSM-primary;CE-176;BR-402,encontrada,107.5188,7,BR-402;CE-354;CE-177;CE-085;OSM-primary;CE-176;BR-402
OAE549,30241.0,encontrada,107.4992,7,BR-402;CE-354;CE-177;CE-085;OSM-primary;CE-176;BR-402,encontrada,107.4992,7,BR-402;CE-354;CE-177;CE-085;OSM-primary;CE-176;BR-402
OAE550,30242.0,encontrada,95.213,6,BR-402;CE-240;OSM-primary;CE-176;BR-402;CE-354,encontrada,95.213,6,BR-402;CE-240;OSM-primary;CE-176;BR-402;CE-354
OAE551,30243.0,encontrada,7.9485,11,Rua Doutor Catunda Gondim;Rua Demétrio Menezes;Avenida Mister Hull;BR-020;BR-222;OSM-primary_link;Avenida Humberto Monte;Rua Rio Grande do Sul;Rua Pernambuco;Rua Guimarães Passos;Avenida Coronel Matos Dourado;Viaduto Antônio Bezerra,encontrada,7.9823,11,Rua Doutor Catunda Gondim;Rua Demétrio Menezes;Avenida Mister Hull;BR-020;BR-222;OSM-primary_link;Avenida Humberto Monte;Rua Rio Grande do Sul;Rua Pernambuco;Rua Guimarães Passos;Avenida Coronel Matos Dourado;Viaduto Antônio Bezerra
OAE552,30244.0,encontrada,2.8943,4,BR-116;Avenida Raimundo Simplicio de Carvalho;Rua Antônio Saraiva,encontrada,2.8943,4,BR-116;Avenida Raimundo Simplicio de Carvalho;Rua Antônio Saraiva
OAE553,30245.0,encontrada,54.3682,10,BR-116;CE-253;OSM-tertiary;Rua Miguel Fialho da Silva;Rua Boanerges Jacó;CE-354;OSM-secondary,encontrada,54.3682,10,BR-116;CE-253;OSM-tertiary;Rua Miguel Fialho da Silva;Rua Boanerges Jacó;CE-354;OSM-secondary
OAE554,30246.0,encontrada,2.9365,4,BR-116;Rua Antônio Saraiva;Avenida Raimundo Simplicio de Carvalho,encontrada,2.9365,4,BR-116;Rua Antônio Saraiva;Avenida Raimundo Simplicio de Carvalho
OAE555,30247.0,encontrada,54.3681,10,BR-116;CE-253;OSM-tertiary;Rua Miguel Fialho da Silva;Rua Boanerges Jacó;CE-354;OSM-secondary,encontrada,54.3681,10,BR-116;CE-253;OSM-tertiary;Rua Miguel Fialho da Silva;Rua Boanerges Jacó;CE-354;OSM-secondary
OAE563,30255.0,encontrada,15.6132,4,BR-116;OSM-tertiary;CE-138,encontrada,157.1994,13,BR-116;Avenida Raimundo Simplicio de Carvalho;OSM-secondary;OSM-trunk_link;Rua Cônego Eduardo Araripe;Rua José Abel de Azevedo;Rua Coronel Cícero de Nogueira Queiroz;CE-253;CE-040;CE-497
OAE567,30259.0,encontrada,1.7044,1,BR-116,encontrada,1.7044,1,BR-116
OAE569,30261.0,encontrada,15.8148,11,BR-116;CE-251;CE-251;Rodovia Deputado Paulino Rocha;Avenida Jorge Cavalcate;Avenida Lidia Alves Cavalcante;OSM-secondary;BR-116;CE-350;BR-116;CE-350;CE-251;OSM-trunk_link,encontrada,32.5355,20,BR-116;CE-251;BR-116;OSM-trunk_link;BR-020;OSM-tertiary;Avenida Dionísio Leonel Alencar;Rua Raimundo Rodrigues Serpa;Rua Otávio de Matos;Avenida do Gavião;CE-251;Rodovia Deputado Paulino Rocha;Avenida Jorge Cavalcate;Avenida Lidia Alves Cavalcante;OSM-secondary;BR-116;CE-350;BR-116;CE-350;CE-251
