CodPro,SGE,status_A1,km_A1,n_vias_A1,ids_vias_A1,status_A2,km_A2,n_vias_A2,ids_vias_A2
OAE431,30123.0,encontrada,96.2115,10,BR-116;CE-284;OSM-tertiary;CE-284;CE-153;Rua Coronel João Augusto;Rua Luis Jacinto;BR-230;BR-116,encontrada,282.9559,36,BR-116;CE-284;BR-116;OSM-trunk_link;Rua Chico Pitombeira;OSM-primary;BR-226;CE-138;BR-226;Rua Senador Fernandes Távora;CE-138;BR-226;CE-278;OSM-tertiary;RN-177;Rua Joaquim Torquato;Avenida Joaquim Torquato;BR-405;Rua Floriano Peixoto;Rua Coronel Alexandre Pinto;Rua Euclides Fernandes;Rua Capitão Israel;Rua Francisco Leão Veloso;Rua Francisco Fernandes Nogueira;OSM-secondary;Avenida Tirso Alves de Sousa;Avenida Frei Damião;PB-393;PB-395;Rua Beto Farias de Oliveira;CE-151
OAE432,30124.0,encontrada,192.099,21,BR-116;Rua Chico Pitombeira;OSM-primary;BR-226;CE-138;Estrada de São Miguel A Pereira;Rua Manoel Queijo;Rua Manuel Queijo;Rua Milton Franca;Rua Doutor José Torquato;RN-177;OSM-tertiary;OSM-secondary;Rua Nova;Rua Diamante;CE-282;OSM-trunk_link,encontrada,282.9508,36,BR-116;Rua Chico Pitombeira;OSM-primary;BR-226;CE-138;BR-226;Rua Senador Fernandes Távora;CE-138;BR-226;CE-278;OSM-tertiary;RN-177;Rua Joaquim Torquato;Avenida Joaquim Torquato;BR-405;Rua Floriano Peixoto;Rua Coronel Alexandre Pinto;Rua Euclides Fernandes;Rua Capitão Israel;Rua Francisco Leão Veloso;Rua Francisco Fernandes Nogueira;OSM-secondary;Avenida Tirso Alves de Sousa;Avenida Frei Damião;PB-393;PB-395;Rua Beto Farias de Oliveira;CE-151;BR-116;CE-284;OSM-trunk_link
OAE433,30125.0,encontrada,170.4288,21,BR-116;CE-275;Avenida Joaquim Távora;OSM-tertiary;CE-153;Rua José Matos Leite;Rua Custódio Nunes;Rua da Residencia;OSM-primary;BR-404;CE-282;CE-282;Avenida Josefa Nogueira Monteiro;OSM-trunk_link;Rua Chico Pitombeira,encontrada,282.9722,36,BR-116;OSM-primary;BR-226;CE-138;BR-226;Rua Senador Fernandes Távora;CE-138;BR-226;CE-278;OSM-tertiary;RN-177;Rua Joaquim Torquato;Avenida Joaquim Torquato;BR-405;Rua Floriano Peixoto;Rua Coronel Alexandre Pinto;Rua Euclides Fernandes;Rua Capitão Israel;Rua Francisco Leão Veloso;Rua Francisco Fernandes Nogueira;OSM-secondary;Avenida Tirso Alves de Sousa;Avenida Frei Damião;PB-393;PB-395;Rua Beto Farias de Oliveira;CE-151;BR-116;CE-284;OSM-trunk_link;Rua Chico Pitombeira
OAE434,30126.0,encontrada,86.3149,13,OSM-trunk_link;BR-116;OSM-tertiary;CE-284;CE-153;BR-404;CE-282;CE-153;BR-404;CE-282;CE-282;Avenida Josefa Nogueira Monteiro;OSM-primary,encontrada,282.9176,37,OSM-trunk_link;BR-116;BR-116;CE-284;OSM-tertiary;CE-151;Rua Beto Farias de Oliveira;OSM-secondary;PB-395;PB-393;Avenida Frei Damião;Avenida Tirso Alves de Sousa;Rua Francisco Fernandes Nogueira;Rua Francisco Leão Veloso;Rua Capitão Israel;Rua Euclides Fernandes;Rua Coronel Alexandre Pinto;Rua Floriano Peixoto;OSM-primary;BR-405;Avenida Joaquim Torquato;Rua Joaquim Torquato;RN-177;BR-226;BR-226;CE-278;CE-138;Rua Senador Fernandes Távora;CE-138;BR-226;Rua Chico Pitombeira
OAE437,30129.0,encontrada,73.4555,11,BR-116;CE-393;CE-384;CE-384;CE-152;CE-152;PB-404;OSM-tertiary;CE-397;Avenida João Inácio de Lucena,encontrada,73.4555,11,BR-116;CE-393;CE-384;CE-384;CE-152;CE-152;PB-404;OSM-tertiary;CE-397;Avenida João Inácio de Lucena
OAE438,30130.0,encontrada,96.1401,10,BR-230;BR-116;BR-116;CE-284;OSM-tertiary;CE-284;CE-153;Rua Coronel João Augusto;Rua Luis Jacinto,encontrada,109.6562,10,BR-230;BR-116;BR-230;BR-116;OSM-trunk_link;CE-288;CE-153;Rua José Linhares;Rua Luis Jacinto
OAE439,30131.0,encontrada,25.4822,6,BR-230;OSM-tertiary;Desembargador Haroldo Correia de Oliveira Maximo;CE-166;BR-230;CE-489,grafo_desconexo,0.0,0,
OAE440,30132.0,encontrada,96.223,10,BR-230;Rua Luis Jacinto;Rua Coronel João Augusto;OSM-tertiary;CE-153;CE-284;BR-116;CE-284;BR-116,encontrada,109.7392,10,BR-230;Rua Luis Jacinto;Rua José Linhares;CE-153;CE-288;BR-116;OSM-trunk_link;BR-116;BR-230
OAE441,30133.0,encontrada,56.2716,4,BR-230;OSM-tertiary;CE-153;BR-230;CE-153,encontrada,56.2716,4,BR-230;OSM-tertiary;CE-153;BR-230;CE-153
OAE442,30134.0,encontrada,32.1775,5,BR-230;CE-060;CE-213;Avenida São Sebastião,encontrada,32.1775,5,BR-230;CE-060;CE-213;Avenida São Sebastião
OAE443,30135.0,encontrada,84.7504,9,BR-116;CE-397;CE-397;CE-153;CE-390;OSM-secondary;Rua São Sebastião;CE-528,encontrada,188.3585,15,BR-116;Avenida João Inácio de Lucena;CE-293;OSM-trunk_link;OSM-secondary;CE-060;CE-060;CE-223;PE-475;CE-528
OAE444,30136.0,encontrada,107.4643,9,BR-230;CE-060;BR-230;CE-153;CE-284;BR-122;CE-060;CE-060,grafo_desconexo,0.0,0,
OAE445,30137.0,encontrada,34.7508,6,BR-230;OSM-tertiary;Desembargador Haroldo Correia de Oliveira Maximo;CE-166,grafo_desconexo,0.0,0,
OAE446,30138.0,encontrada,112.3259,11,BR-230;CE-060;BR-122;CE-060;CE-284;CE-166;OSM-secondary;OSM-tertiary,grafo_desconexo,0.0,0,
OAE447,30139.0,encontrada,84.793,9,BR-116;CE-397;CE-397;CE-153;CE-390;OSM-secondary;Rua São Sebastião;CE-528,encontrada,188.401,15,BR-116;Avenida João Inácio de Lucena;CE-293;OSM-trunk_link;OSM-secondary;CE-060;CE-060;CE-223;PE-475;CE-528
OAE448,30140.0,encontrada,164.9263,24,CE-275;BR-226;CE-368;CE-368;CE-371;Estrada para Jaguaribe;Rua José Guerra;Avenida do Contorno;Avenida Governador Manoel de Castro Filho;CE-269;OSM-secondary_link;CE-546;Avenida Vereador Sobrinho;OSM-secondary;BR-116;Rua Sigefredo Diógenes;Rua da Rodoviaria 2;Rua Savino Barreira;Avenida GIl Teixeira Bastos;Rua Gil Teixeira Bastos,encontrada,164.9263,24,CE-275;BR-226;CE-368;CE-368;CE-371;Estrada para Jaguaribe;Rua José Guerra;Avenida do Contorno;Avenida Governador Manoel de Castro Filho;CE-269;OSM-secondary_link;CE-546;Avenida Vereador Sobrinho;OSM-secondary;BR-116;Rua Sigefredo Diógenes;Rua da Rodoviaria 2;Rua Savino Barreira;Avenida GIl Teixeira Bastos;Rua Gil Teixeira Bastos
OAE449,30141.0,encontrada,202.3177,17,BR-226;BR-226;CE-371;Rua José Gomes Pinheiro;CE-371;OSM-tertiary;CE-275;CE-371;CE-060;OSM-primary;BR-122;CE-375;CE-375;BR-122;Avenida Perimetral;CE-153;BR-122,grafo_desconexo,0.0,0,
OAE450,30142.0,encontrada,43.7611,9,BR-226;Rua José Gomes Pinheiro;CE-371;OSM-tertiary;Avenida Vereador Acácio Nascimento Silva;Rua João Alfredo Pinheiro;Avenida Joaquim Dantas Pinheiro,encontrada,43.7611,9,BR-226;Rua José Gomes Pinheiro;CE-371;OSM-tertiary;Avenida Vereador Acácio Nascimento Silva;Rua João Alfredo Pinheiro;Avenida Joaquim Dantas Pinheiro
